Retriever,Latency (s),Questions
Parent Document,85.03731489181519,12
BM25,94.75470304489136,12
Naive,98.25548219680786,12
Contextual Compression,100.64658093452454,10
Multi-Query,119.2607192993164,12
Ensemble,257.1266589164734,12
